geneID	Sex.Bias.Category	log2FoldChange.Osada	Diff.Splicing.MCabs.vs.MCsim	Diff.Splicing.MCabs.vs.MCcom	Diff.Splicing.MCsim.vs.MCcom
FBgn0000244	Male-biased	1.75824663709468	Not Significant	Not Significant	Not Significant
FBgn0000246	Female-biased	-3.37156794779088	Not Significant	Not Significant	Not Significant
FBgn0000247	Unbiased	-0.039671008232638	Not Significant	Not Significant	Not Significant
FBgn0000250	Female-biased	-1.02972018860962	Not Significant	Not Significant	Not Significant
FBgn0000251	Female-biased	-1.54981532491343	Not Significant	Not Significant	Significant
FBgn0000256	Male-biased	2.48400071077242	Not Significant	Not Significant	Not Significant
FBgn0000257	Female-biased	-1.30807466244638	Not Significant	Not Significant	Not Significant
FBgn0000259	Female-biased	-1.24084230875857	Not Significant	Not Significant	Not Significant
FBgn0000261	Male-biased	2.18814240166044	Not Significant	Not Significant	Not Significant
FBgn0000273	Unbiased	0.283374608839545	Not Significant	Not Significant	Not Significant
FBgn0000283	Female-biased	-2.04690616023965	Not Significant	Not Significant	Not Significant
FBgn0000286	Male-biased	0.522853409030609	Not Significant	Not Significant	Not Significant
FBgn0000289	Female-biased	-1.48650023286254	Not Significant	Not Significant	Not Significant
FBgn0000299	Unbiased	0.0844948923533343	Not Significant	Not Significant	Not Significant
FBgn0000308	Female-biased	-0.518637147330929	Not Significant	Not Significant	Not Significant
FBgn0000317	Unbiased	-0.361423106743076	Not Significant	Not Significant	Not Significant
FBgn0000318	Unbiased	0.263446466737343	Not Significant	Not Significant	Not Significant
FBgn0000319	Unbiased	-0.338204246086684	Not Significant	Not Significant	Not Significant
FBgn0000320	Unbiased	0.264257115847221	Not Significant	Not Significant	Not Significant
FBgn0000326	Unbiased	-0.138232576437747	Not Significant	Not Significant	Not Significant
FBgn0000330	Female-biased	-1.28941719123069	Not Significant	Not Significant	Not Significant
FBgn0000339	Unbiased	-0.152420568771402	Not Significant	Not Significant	Not Significant
FBgn0000346	Male-biased	2.26866855088519	Not Significant	Not Significant	Not Significant
FBgn0000351	Female-biased	-6.33745794275199	Not Significant	Not Significant	Not Significant
FBgn0000352	Female-biased	-2.79394280015674	Not Significant	Not Significant	Not Significant
FBgn0000355	Female-biased	-8.32707350842811	Not Significant	Not Significant	Not Significant
FBgn0000356	Female-biased	-5.61198859978364	Not Significant	Not Significant	Not Significant
FBgn0000357	Female-biased	-8.0822097723328	Not Significant	Not Significant	Not Significant
FBgn0000358	Female-biased	-5.60942925457917	Not Significant	Not Significant	Not Significant
FBgn0000359	Female-biased	-5.56248166565222	Not Significant	Not Significant	Not Significant
FBgn0000360	Female-biased	-5.57491323361824	Not Significant	Not Significant	Not Significant
FBgn0000376	Female-biased	-3.23617237481094	Not Significant	Not Significant	Not Significant
FBgn0000377	Female-biased	-1.43809145688712	Not Significant	Not Significant	Not Significant
FBgn0000382	Unbiased	-0.286576414483904	Not Significant	Not Significant	Not Significant
FBgn0000384	Female-biased	-2.15668136422438	Not Significant	Not Significant	Not Significant
FBgn0000394	Male-biased	0.604143636915347	Not Significant	Not Significant	Not Significant
FBgn0000395	Male-biased	1.54638954409529	Not Significant	Not Significant	Not Significant
FBgn0000404	Female-biased	-4.98349644167715	Not Significant	Not Significant	Not Significant
FBgn0000405	Female-biased	-5.07576193912675	Not Significant	Not Significant	Not Significant
FBgn0000406	Male-biased	1.86975828016295	Not Significant	Not Significant	Not Significant
FBgn0000411	Male-biased	3.18662849758402	Not Significant	Not Significant	Not Significant
FBgn0000412	Female-biased	-1.68144127898019	Not Significant	Not Significant	Not Significant
FBgn0000414	Unbiased	-0.332718782487498	Not Significant	Not Significant	Not Significant
FBgn0000422	Male-biased	2.50816163344443	Not Significant	Not Significant	Not Significant
FBgn0000427	Female-biased	-9.44992873868909	Not Significant	Not Significant	Not Significant
FBgn0000447	Male-biased	0.913920705553293	Not Significant	Not Significant	Not Significant
FBgn0000454	Female-biased	-1.21061762215633	Not Significant	Not Significant	Not Significant
FBgn0000459	Male-biased	1.9140074461177	Not Significant	Not Significant	Not Significant
FBgn0000463	Female-biased	-3.16091240015844	Not Significant	Not Significant	Not Significant
FBgn0000473	Male-biased	2.25775499464359	Not Significant	Not Significant	Not Significant
FBgn0000477	Male-biased	1.91121029597755	Not Significant	Not Significant	Not Significant
FBgn0000479	Male-biased	0.793496361479702	Not Significant	Not Significant	Not Significant
FBgn0000482	Female-biased	-0.672874838740909	Not Significant	Not Significant	Not Significant
FBgn0000489	Male-biased	2.67197280863183	Not Significant	Not Significant	Not Significant
FBgn0000490	Male-biased	1.92130442735385	Not Significant	Not Significant	Not Significant
FBgn0000492	Male-biased	2.44793985760302	Not Significant	Not Significant	Not Significant
FBgn0000504	Male-biased	2.6986846310868	Not Significant	Not Significant	Not Significant
FBgn0000520	Female-biased	-1.99946280944856	Not Significant	Not Significant	Not Significant
FBgn0000524	Female-biased	-3.15847618974102	Not Significant	Not Significant	Not Significant
FBgn0000527	Male-biased	2.92806793371863	Not Significant	Not Significant	Not Significant
FBgn0000533	Female-biased	-1.77197215396398	Not Significant	Not Significant	Not Significant
FBgn0000535	Male-biased	2.91535648651725	Not Significant	Not Significant	Not Significant
FBgn0000536	Unbiased	0.322821657348814	Not Significant	Not Significant	Not Significant
FBgn0000541	Female-biased	-1.61408991570751	Not Significant	Not Significant	Significant
FBgn0000542	Male-biased	0.877271490362163	Not Significant	Not Significant	Not Significant
FBgn0000543	Female-biased	-0.916625466455605	Not Significant	Not Significant	Not Significant
FBgn0000546	Female-biased	-1.52915529086647	Not Significant	Not Significant	Not Significant
FBgn0000547	Female-biased	-1.19165811591027	Not Significant	Not Significant	Not Significant
FBgn0000557	Male-biased	2.57348103158787	Not Significant	Not Significant	Not Significant
FBgn0000559	Unbiased	-0.428784303092966	Not Significant	Not Significant	Not Significant
FBgn0000562	Female-biased	-0.516311505796186	Not Significant	Not Significant	Not Significant
FBgn0000565	Male-biased	0.626665433152957	Not Significant	Not Significant	Not Significant
FBgn0000566	Female-biased	-0.525096408985538	Not Significant	Not Significant	Not Significant
FBgn0000567	Male-biased	0.977654974441808	Not Significant	Not Significant	Not Significant
FBgn0000568	Male-biased	0.650924616467428	Not Significant	Not Significant	Not Significant
FBgn0000575	Unbiased	0.169140117168575	Not Significant	Not Significant	Not Significant
FBgn0000578	Female-biased	-1.37132359073218	Not Significant	Not Significant	Not Significant
FBgn0000579	Male-biased	0.802984422323345	Not Significant	Not Significant	Significant
FBgn0000581	Female-biased	-1.48249030856456	Not Significant	Not Significant	Not Significant
FBgn0000588	Female-biased	-3.28169261559634	Not Significant	Not Significant	Not Significant
FBgn0000592	Male-biased	3.5069533409688	Not Significant	Not Significant	Not Significant
FBgn0000611	Female-biased	-0.582814427186096	Not Significant	Not Significant	Not Significant
FBgn0000615	Male-biased	1.43527653870329	Not Significant	Not Significant	Not Significant
FBgn0000617	Female-biased	-1.72446153015208	Not Significant	Not Significant	Not Significant
FBgn0000629	Female-biased	-1.55024243314479	Not Significant	Not Significant	Not Significant
FBgn0000633	Male-biased	2.76984461074353	Not Significant	Not Significant	Not Significant
FBgn0000635	Male-biased	1.61078918494923	Not Significant	Not Significant	Not Significant
FBgn0000636	Male-biased	0.790232859346307	Not Significant	Not Significant	Not Significant
FBgn0000644	Female-biased	-6.30586331459149	Not Significant	Not Significant	Not Significant
FBgn0000659	Male-biased	2.13535940023399	Not Significant	Not Significant	Not Significant
FBgn0000662	Female-biased	-1.09683123709966	Not Significant	Not Significant	Not Significant
FBgn0000709	Female-biased	-1.27286371560822	Not Significant	Not Significant	Not Significant
FBgn0000711	Unbiased	0.0237427876678175	Not Significant	Not Significant	Not Significant
FBgn0000719	Female-biased	-1.13498445544642	Not Significant	Not Significant	Not Significant
FBgn0000721	Unbiased	-0.365088541840098	Not Significant	Not Significant	Not Significant
FBgn0000723	Male-biased	2.17796891736527	Not Significant	Not Significant	Not Significant
FBgn0000808	Female-biased	-3.26658351586781	Not Significant	Not Significant	Not Significant
FBgn0000810	Female-biased	-1.91602083841334	Not Significant	Not Significant	Not Significant
FBgn0000927	Female-biased	-5.07276120667123	Not Significant	Not Significant	Not Significant
FBgn0000996	Female-biased	-4.66338135951792	Not Significant	Not Significant	Not Significant
FBgn0001079	Female-biased	-2.10258247956474	Not Significant	Not Significant	Not Significant
FBgn0001084	Female-biased	-2.27004737529765	Not Significant	Not Significant	Not Significant
FBgn0001085	Female-biased	-3.58759787372994	Not Significant	Not Significant	Not Significant
FBgn0001086	Female-biased	-2.70408873021942	Not Significant	Not Significant	Not Significant
FBgn0001087	Female-biased	-1.82478481897361	Not Significant	Not Significant	Not Significant
FBgn0001089	Male-biased	1.58623012160305	Not Significant	Not Significant	Not Significant
FBgn0001090	Male-biased	2.24146572413061	Not Significant	Not Significant	Not Significant
FBgn0001091	Male-biased	1.36265177200434	Not Significant	Not Significant	Not Significant
FBgn0001092	Female-biased	-0.596573128033527	Not Significant	Not Significant	Not Significant
FBgn0001098	Unbiased	0.442051556738709	Not Significant	Not Significant	Not Significant
FBgn0001104	Female-biased	-2.01459759852862	Not Significant	Not Significant	Not Significant
FBgn0001105	Female-biased	-0.732473198149822	Not Significant	Not Significant	Not Significant
FBgn0001108	Female-biased	-0.881981189338364	Not Significant	Not Significant	Not Significant
FBgn0001112	Male-biased	6.02513360657469	Not Significant	Not Significant	Not Significant
FBgn0001114	Male-biased	1.44691960945982	Not Significant	Not Significant	Not Significant
FBgn0001120	Female-biased	-5.26541921500842	Not Significant	Not Significant	Not Significant
FBgn0001122	Unbiased	-0.349164903923319	Not Significant	Not Significant	Not Significant
FBgn0001123	Male-biased	1.60794323430279	Not Significant	Not Significant	Not Significant
FBgn0001124	Male-biased	1.71501982496966	Not Significant	Not Significant	Not Significant
FBgn0001125	Male-biased	0.520183728965234	Not Significant	Not Significant	Not Significant
FBgn0001128	Male-biased	1.79101511006477	Not Significant	Not Significant	Not Significant
FBgn0001133	Female-biased	-0.832287135750757	Not Significant	Not Significant	Not Significant
FBgn0001137	Unbiased	0.174690645895132	Not Significant	Not Significant	Not Significant
FBgn0001139	Female-biased	-1.59978332415856	Not Significant	Not Significant	Not Significant
FBgn0001142	Female-biased	-1.08778822469544	Not Significant	Not Significant	Not Significant
FBgn0001145	Male-biased	2.22019044162133	Not Significant	Not Significant	Not Significant
FBgn0001149	Male-biased	0.631353276295078	Not Significant	Not Significant	Not Significant
FBgn0001168	Male-biased	1.69835922925729	Not Significant	Not Significant	Not Significant
FBgn0001169	Female-biased	-2.09593102082595	Not Significant	Not Significant	Not Significant
FBgn0001180	Female-biased	-3.36042432656013	Not Significant	Not Significant	Not Significant
FBgn0001186	Male-biased	0.894060277480427	Not Significant	Not Significant	Not Significant
FBgn0001189	Unbiased	0.313464040777514	Not Significant	Not Significant	Not Significant
FBgn0001197	Female-biased	-3.23890520634433	Not Significant	Not Significant	Not Significant
FBgn0001202	Unbiased	-0.217132466975011	Not Significant	Not Significant	Not Significant
FBgn0001206	Female-biased	-2.59605432424595	Not Significant	Not Significant	Not Significant
FBgn0001208	Male-biased	1.89561997525509	Not Significant	Not Significant	Not Significant
FBgn0001215	Unbiased	-0.106077350999202	Significant	Not Significant	Not Significant
FBgn0001216	Male-biased	3.47035181415947	Not Significant	Not Significant	Not Significant
FBgn0001218	Unbiased	-0.388670334628705	Not Significant	Significant	Not Significant
FBgn0001220	Male-biased	0.509947920889492	Not Significant	Not Significant	Not Significant
FBgn0001222	Female-biased	-1.61194599053209	Not Significant	Not Significant	Not Significant
FBgn0001224	Male-biased	1.8061521091755	Not Significant	Not Significant	Not Significant
FBgn0001225	Female-biased	-3.64694874894379	Not Significant	Not Significant	Not Significant
FBgn0001226	Female-biased	-3.17991793707258	Not Significant	Not Significant	Not Significant
FBgn0001233	Female-biased	-1.59114204674402	Not Significant	Not Significant	Not Significant
FBgn0001235	Male-biased	2.08169710540527	Not Significant	Not Significant	Not Significant
FBgn0001247	Unbiased	0.359592487008771	Not Significant	Not Significant	Not Significant
FBgn0001248	Male-biased	0.883493463228524	Not Significant	Not Significant	Not Significant
FBgn0001250	Male-biased	2.18997931313672	Not Significant	Not Significant	Not Significant
FBgn0001258	Male-biased	2.18007928444187	Not Significant	Not Significant	Not Significant
FBgn0001285	Unbiased	0.113373143488763	Not Significant	Not Significant	Not Significant
FBgn0001291	Unbiased	0.117716111235047	Not Significant	Not Significant	Not Significant
FBgn0001296	Female-biased	-1.35705985875864	Not Significant	Not Significant	Not Significant
FBgn0001297	Male-biased	1.93079685125637	Not Significant	Not Significant	Not Significant
FBgn0001301	Unbiased	0.112992264320723	Not Significant	Significant	Significant
FBgn0001308	Female-biased	-0.956778369423532	Not Significant	Not Significant	Not Significant
FBgn0001320	Male-biased	2.50922033537926	Not Significant	Not Significant	Not Significant
FBgn0001324	Unbiased	-0.132748579560131	Not Significant	Not Significant	Not Significant
FBgn0001330	Female-biased	-3.06885055176828	Not Significant	Not Significant	Not Significant
FBgn0001341	Female-biased	-2.59525875941441	Not Significant	Not Significant	Not Significant
FBgn0001404	Unbiased	-0.134027666535204	Not Significant	Not Significant	Not Significant
FBgn0001491	Female-biased	-0.802422917679428	Not Significant	Not Significant	Not Significant
FBgn0001565	Female-biased	-1.0888200677588	Not Significant	Not Significant	Not Significant
FBgn0001612	Female-biased	-2.62897487902943	Not Significant	Not Significant	Not Significant
FBgn0001624	Male-biased	0.647708246662105	Not Significant	Not Significant	Significant
FBgn0001941	Unbiased	-0.364335549268854	Not Significant	Not Significant	Not Significant
FBgn0001961	Unbiased	0.185497303496693	Not Significant	Not Significant	Not Significant
FBgn0001965	Female-biased	-0.773870838716623	Not Significant	Not Significant	Not Significant
FBgn0001977	Unbiased	-0.128745272817741	Not Significant	Not Significant	Not Significant
FBgn0001978	Female-biased	-1.14624571947645	Not Significant	Not Significant	Not Significant
FBgn0001986	Female-biased	-1.07016134081134	Not Significant	Not Significant	Not Significant
FBgn0001987	Male-biased	0.834445392275881	Not Significant	Not Significant	Not Significant
FBgn0001989	Male-biased	0.951875647777881	Not Significant	Not Significant	Not Significant
FBgn0001990	Female-biased	-1.91063883754296	Not Significant	Not Significant	Not Significant
FBgn0001991	Male-biased	3.23815549726695	Not Significant	Not Significant	Not Significant
FBgn0001994	Female-biased	-1.27339846850648	Not Significant	Not Significant	Not Significant
FBgn0001995	Female-biased	-1.04047002547568	Not Significant	Not Significant	Not Significant
FBgn0002021	Unbiased	-0.299955868522249	Not Significant	Not Significant	Not Significant
FBgn0002022	Unbiased	0.0801465191434473	Not Significant	Not Significant	Not Significant
FBgn0002031	Female-biased	-0.940695852549834	Not Significant	Not Significant	Not Significant
FBgn0002036	Male-biased	2.84413027205444	Not Significant	Not Significant	Not Significant
FBgn0002044	Female-biased	-1.13387874139286	Not Significant	Not Significant	Not Significant
FBgn0002174	Male-biased	1.08459356382582	Not Significant	Not Significant	Not Significant
FBgn0002183	Female-biased	-2.79150575394765	Not Significant	Not Significant	Not Significant
FBgn0002283	Female-biased	-1.42428244545313	Not Significant	Not Significant	Not Significant
FBgn0002284	Unbiased	-0.363124967565028	Not Significant	Not Significant	Not Significant
FBgn0002354	Unbiased	-0.201103454936738	Not Significant	Not Significant	Not Significant
FBgn0002413	Female-biased	-2.1047169638962	Not Significant	Not Significant	Not Significant
FBgn0002431	Unbiased	-0.298323483768158	Not Significant	Not Significant	Not Significant
FBgn0002441	Female-biased	-1.00883263535683	Not Significant	Not Significant	Not Significant
FBgn0002521	Female-biased	-1.39112342159099	Not Significant	Not Significant	Not Significant
FBgn0002524	Female-biased	-1.00998429912692	Not Significant	Not Significant	Not Significant
FBgn0002525	Female-biased	-1.65143113276018	Not Significant	Not Significant	Not Significant
FBgn0002526	Unbiased	-0.321454444897541	Not Significant	Not Significant	Not Significant
FBgn0002542	Female-biased	-2.83795451253004	Not Significant	Not Significant	Not Significant
FBgn0002552	Female-biased	-1.74430044918915	Not Significant	Not Significant	Not Significant
FBgn0002566	Unbiased	-0.0732677042792137	Not Significant	Not Significant	Not Significant
FBgn0002567	Female-biased	-1.08204992702163	Not Significant	Not Significant	Not Significant
FBgn0002569	Male-biased	2.11508252873368	Not Significant	Not Significant	Not Significant
FBgn0002570	Male-biased	2.37204246154748	Not Significant	Not Significant	Not Significant
FBgn0002571	Male-biased	1.96475847337897	Not Significant	Not Significant	Not Significant
FBgn0002579	Female-biased	-0.798759948353892	Not Significant	Not Significant	Not Significant
FBgn0002590	Unbiased	0.104973119734147	Not Significant	Not Significant	Not Significant
FBgn0002593	Female-biased	-0.679615271197677	Not Significant	Not Significant	Not Significant
FBgn0002622	Female-biased	-0.859869445671444	Not Significant	Not Significant	Not Significant
FBgn0002626	Female-biased	-0.72955029303265	Not Significant	Not Significant	Not Significant
FBgn0002638	Female-biased	-2.9043490830522	Not Significant	Not Significant	Not Significant
FBgn0002641	Female-biased	-0.907315961801421	Not Significant	Not Significant	Not Significant
FBgn0002643	Female-biased	-0.587077365662681	Not Significant	Not Significant	Not Significant
FBgn0002645	Unbiased	-0.341696862193523	Not Significant	Not Significant	Not Significant
FBgn0002673	Female-biased	-1.03255485724033	Not Significant	Not Significant	Not Significant
FBgn0002715	Male-biased	0.660701687261159	Not Significant	Not Significant	Not Significant
FBgn0002719	Male-biased	1.74618156592319	Not Significant	Not Significant	Not Significant
FBgn0002723	Unbiased	0.109043674986577	Not Significant	Not Significant	Not Significant
FBgn0002736	Female-biased	-2.15220025748067	Not Significant	Not Significant	Not Significant
FBgn0002772	Male-biased	2.41905969441277	Not Significant	Not Significant	Not Significant
FBgn0002773	Male-biased	2.46213683260606	Not Significant	Not Significant	Not Significant
FBgn0002774	Unbiased	-0.0249227145522302	Not Significant	Not Significant	Not Significant
FBgn0002775	Female-biased	-1.54900496812026	Not Significant	Not Significant	Not Significant
FBgn0002778	Female-biased	-1.57950589305474	Not Significant	Not Significant	Not Significant
FBgn0002780	Female-biased	-3.26469144201198	Not Significant	Not Significant	Not Significant
FBgn0002783	Female-biased	-2.4704695576073	Not Significant	Not Significant	Not Significant
FBgn0002787	Female-biased	-0.622618268018512	Not Significant	Not Significant	Not Significant
FBgn0002789	Male-biased	1.68699211147493	Not Significant	Not Significant	Not Significant
FBgn0002791	Female-biased	-0.78399048933954	Not Significant	Not Significant	Not Significant
FBgn0002868	Male-biased	1.47664877947969	Not Significant	Not Significant	Not Significant
FBgn0002869	Male-biased	0.586229703213241	Not Significant	Not Significant	Not Significant
FBgn0002872	Female-biased	-3.27939350135577	Not Significant	Not Significant	Not Significant
FBgn0002873	Unbiased	-0.498948172090251	Not Significant	Not Significant	Not Significant
FBgn0002887	Female-biased	-1.08337882798019	Not Significant	Significant	Not Significant
FBgn0002891	Female-biased	-1.64238876866741	Not Significant	Not Significant	Not Significant
FBgn0002899	Female-biased	-4.1821402220746	Not Significant	Not Significant	Not Significant
FBgn0002901	Female-biased	-1.78251266677113	Not Significant	Not Significant	Not Significant
FBgn0002905	Female-biased	-0.88347230816572	Not Significant	Not Significant	Not Significant
FBgn0002906	Female-biased	-1.13682187702336	Not Significant	Not Significant	Not Significant
FBgn0002921	Male-biased	1.17986390375659	Not Significant	Significant	Significant
FBgn0002924	Female-biased	-2.38016322501124	Not Significant	Not Significant	Not Significant
FBgn0002926	Female-biased	-7.00559684220472	Not Significant	Not Significant	Not Significant
FBgn0002930	Male-biased	1.95295699922712	Not Significant	Not Significant	Not Significant
FBgn0002931	Male-biased	2.54086446216902	Not Significant	Not Significant	Not Significant
FBgn0002932	Female-biased	-1.4307084703525	Not Significant	Not Significant	Not Significant
FBgn0002938	Male-biased	3.69726869926132	Not Significant	Not Significant	Not Significant
FBgn0002939	Male-biased	1.41277014871009	Not Significant	Not Significant	Not Significant
FBgn0002940	Male-biased	3.34860613385486	Not Significant	Not Significant	Not Significant
FBgn0002945	Male-biased	2.2072079228952	Not Significant	Not Significant	Not Significant
FBgn0002948	Female-biased	-4.73625836154078	Not Significant	Not Significant	Not Significant
FBgn0002962	Female-biased	-7.48705175165127	Not Significant	Not Significant	Not Significant
FBgn0002973	Male-biased	0.512022114848333	Not Significant	Not Significant	Not Significant
FBgn0002985	Male-biased	1.84449380127062	Not Significant	Not Significant	Not Significant
FBgn0002989	Female-biased	-2.42204696664467	Not Significant	Not Significant	Not Significant
FBgn0003008	Female-biased	-0.873602310929227	Not Significant	Not Significant	Not Significant
FBgn0003023	Female-biased	-5.11185740245032	Not Significant	Not Significant	Not Significant
FBgn0003028	Female-biased	-4.59697011824123	Not Significant	Not Significant	Not Significant
FBgn0003041	Female-biased	-2.48875450122634	Not Significant	Not Significant	Not Significant
FBgn0003042	Female-biased	-2.34292613261109	Not Significant	Not Significant	Not Significant
FBgn0003044	Female-biased	-2.88412132591605	Not Significant	Not Significant	Not Significant
FBgn0003048	Female-biased	-0.872190414109568	Not Significant	Not Significant	Not Significant
FBgn0003053	Unbiased	0.376259805901603	Not Significant	Not Significant	Not Significant
FBgn0003062	Female-biased	-2.40752848648023	Not Significant	Not Significant	Not Significant
FBgn0003068	Male-biased	0.747217415580286	Not Significant	Not Significant	Not Significant
FBgn0003071	Male-biased	1.91939513633626	Not Significant	Not Significant	Not Significant
FBgn0003074	Male-biased	1.37332877186377	Not Significant	Not Significant	Not Significant
FBgn0003076	Male-biased	1.16124076902095	Not Significant	Not Significant	Not Significant
FBgn0003079	Female-biased	-1.87031199441006	Not Significant	Not Significant	Not Significant
FBgn0003082	Female-biased	-3.04822121249946	Not Significant	Not Significant	Not Significant
FBgn0003087	Female-biased	-2.92780624876772	Not Significant	Not Significant	Not Significant
FBgn0003090	Male-biased	2.0141647022909	Not Significant	Not Significant	Not Significant
FBgn0003091	Male-biased	1.76443590421132	Not Significant	Not Significant	Not Significant
FBgn0003093	Male-biased	0.78062507321767	Not Significant	Not Significant	Not Significant
FBgn0003114	Female-biased	-5.32409175296119	Not Significant	Not Significant	Not Significant
FBgn0003116	Unbiased	-0.124498161102978	Not Significant	Not Significant	Not Significant
FBgn0003118	Unbiased	-0.0839523484388591	Not Significant	Not Significant	Not Significant
FBgn0003124	Female-biased	-2.40142847435675	Not Significant	Not Significant	Not Significant
FBgn0003134	Male-biased	0.970083370173922	Not Significant	Not Significant	Not Significant
FBgn0003137	Male-biased	1.45927072247773	Not Significant	Not Significant	Not Significant
FBgn0003139	Female-biased	-1.88588907725434	Not Significant	Not Significant	Not Significant
FBgn0003141	Female-biased	-0.731309439430856	Not Significant	Not Significant	Not Significant
FBgn0003149	Male-biased	2.49889526498139	Not Significant	Not Significant	Not Significant
FBgn0003162	Male-biased	2.05778297263457	Not Significant	Not Significant	Not Significant
FBgn0003165	Female-biased	-2.26664911486055	Not Significant	Not Significant	Not Significant
FBgn0003169	Unbiased	-0.431281898867729	Not Significant	Not Significant	Not Significant
FBgn0003174	Female-biased	-0.679151357431621	Not Significant	Not Significant	Not Significant
FBgn0003175	Unbiased	0.00727090757105126	Not Significant	Not Significant	Not Significant
FBgn0003187	Unbiased	0.423407244949326	Not Significant	Not Significant	Not Significant
FBgn0003189	Female-biased	-1.84443106694684	Not Significant	Not Significant	Not Significant
FBgn0003205	Female-biased	-1.304568297862	Not Significant	Not Significant	Not Significant
FBgn0003206	Unbiased	0.28573487480074	Not Significant	Not Significant	Not Significant
